Surname | First Name | Year | Country | State | Town | Location | Ancestral Origin | Language | Religion | DNA | DNA Type | DNA Modifier | DNA Match
Smith | Susan | 1898 | USA | Ohio | Toledo | Street Address | German | Germanic | Catholic | Y-DNA | Haplogroup | Haplotype Group | Close Relative
Jones | Richard | 1903 | USA | New York | Albany | County Name | French | Latin | Protestant | mtDNA | Genome | Subclade | 4th Cousin
Brown | David | 1894 | Canada | Quebec | Montreal | House Number | Italian | Romance | Atheist | Autosomal | Chromomsome | Allele | Distant Relative
Smith | Thomas | 1908 | Mexico | Chihuahua | Ciudad Juarez | Post Code | English | Anglo-Saxon | Buddhist | Y-DNA | Haplogroup | Haplotype Group | Close Relative
Wilson | Sarah | 1910 | France | Ile-de-France | Paris | GPS Coordinates | Scottish | Celtic | Muslim | mtDNA | Genome | Subclade | 4th Cousin
Miller | John | 1901 | Russia | Moscow | Sochi | Borough | Polish | Slavic | Jewish | Autosomal | Chromomsome | Allele | Distant Relative
Brown | Emily | 1923 | Brazil | Rio de Janeiro | Sao Paulo | Zip Code | Spanish | Iberian | Hindu | Y-DNA | Haplogroup | Haplotype Group | Close Relative
Jones | David | 1924 | Australia | Victoria | Melbourne | Area Code | Irish | Gaelic | Sikh | mtDNA | Genome | Subclade | 4th Cousin
Scott | Robert | 1912 | China | Beijing | Shanghai | Neighborhood | Scottish | Celtic | Taoist | Autosomal | Chromomsome | Allele | Distant Relative
Walker | Emma | 1904 | India | Uttar Pradesh | Kanpur | Province | English | Anglo-Saxon | Jainism | Y-DNA | Haplogroup | Haplotype Group | Close Relative
Jackson | Thomas | 1896 | Ethiopia | Oromia | Addis Ababa | Region | German | Germanic | Pagen | mtDNA | Genome | Subclade | 4th Cousin
Williams | Richard | 1923 | Kenya | Nairobi | Nyeri | City | Irish | Gaelic | Shinto | Autosomal | Chromomsome | Allele | Distant Relative
Thompson | Sarah | 1865 | Ghana | Ashanti | Kumasi | Latitude/Longitude | Scottish | Celtic | Bahá'í | Y-DNA | Haplogroup | Haplotype Group | Close Relative
