;Incident Number; Date & Time Occurred; Offense Description; Location; Offense Category; Incident Type; Victim Age; Victim Gender; Victim Race; Suspect Name; Suspect Age; Suspect Gender; Suspect Race
0; 1;01/01/2023 12:00 AM;Theft of a wallet;Parking lot of local mall;Theft;Petty Theft;65;Female;White;John Doe;30;Male;Black
1;2;01/02/2023 03:30 PM;Assault with a deadly weapon (knife);Corner of Main St. and Oak Ave.;Assault;Aggravated Assault;42;Male;Hispanic;Jane Smith;28;Female;Asian
2;3;01/03/2023 09:00 AM;Vandalism of public property (spray paint);Local high school;Vandalism;Criminal Mischief;17;Non-binary;Black;Unknown;NA;NA;NA
3;4;01/04/2023 06:45 PM;Burglary of a residence;Victim's home on Maple St.;Burglary;Residential Burglary;58;Male;White; Suspected Gang Members;NA;NA;Multiple Various
4;5;01/05/2023 11:15 AM;Motor vehicle theft;Victim's driveway on Elm St.;Motor Vehicle Theft;Grand Theft Auto;33;Male;Black;Unidentified Suspect;NA;NA;NA
5;6;01/06/2023 02:00 PM;Fraud by check;Local bank on Pine St.;Fraud;Financial Fraud;51;Female;Asian;John Doe;45;Male;White
6;7;01/07/2023 07:30 PM;Stalking;Victim's workplace on Spruce Ave.;Stalking;Criminal Stalking;30;Male;White;Susan Johnson;27;Female;Black
7;8;01/08/2023 10:00 AM;Robbery with a firearm;Convenience store on Birch St.;Robbery;Armed Robbery;23;Male;Hispanic;James Brown;35;Male;Black
8;9;01/09/2023 04:15 PM;Arson of a motor vehicle;Parking garage on Cedar St.;Arson;Vehicle Arson;40;Non-binary;White;Unknown;NA;NA;NA
9;10;01/10/2023 11:59 PM;Homicide (gunshot);Victim's home on Walnut St.;Homicide;Murder;35;Male;Black;William Thompson;32;Male;White.</s>
10; 11;01/11/2023 09:30 AM;Aggravated assault (knife);Park on Maple St.;Assault;Weapon Attack;21;Female;Asian;Sophia Lee;25;Female;Asian 
11;12;01/12/2023 07:00 PM;Burglary (residential);Apartment complex on Oak St.;Burglary;Residential Burglary;30;Male;White;Michael Green;38;Male;Hispanic 
12;13;01/13/2023 03:15 AM;Motor vehicle theft (high-value);Car dealership on Pine St.;Theft;Grand Theft Auto;45;Male;Black;NA;NA;NA;
13;14;01/14/2023 06:00 PM;Fraud (financial institution);Bank on Spruce St.;Fraud;Financial Institution Fraud;50;Male;White;John Anderson;42;Male;White 
14;15;01/15/2023 10:45 AM;Sexual assault (rape);Hotel on Cherry St.;Sexual Offense;Rape;35;Female;Hispanic;NA;NA;NA;
15;16;01/16/2023 08:30 PM;Stalking (cyberstalking);Victim's workplace on Elm St.;Stalking;Cyberstalking;29;Female;Asian;NA;NA;NA;
