;PersonID; GivenName; MiddleName; Surname; DateOfBirth; PlaceOfBirth; MotherMaidenName; FatherFirstName; FatherLastName; SpouseName; MarriageDate; DeathDate; SSN
0; 10001; John; David; Smith; 1980-05-12; New York, NY, USA; Sarah; James; Johnson; Emily Thompson; 2005-11-15;  ; 123-45-6789
1;10002; Emily; Maria; Johnson; 1982-08-08; Los Angeles, CA, USA; Linda; Robert; Davis; John David; 2006-07-02;  ; 234-56-7890
2;10003; James; Paul; Williams; 1955-12-17; Chicago, IL, USA; Susan; Michael; Brown; Jessica Green; 1979-06-06;  ; 345-67-8901
3;10004; Jennifer; Anne; Miller; 1990-04-24; Houston, TX, USA; Barbara; Steven; Miller; Daniel White; 2015-12-16;  ; 456-78-9012
4;10005; Michael, Scott; Alexander; Garcia; 1965-09-09; Miami, FL, USA; Maria; Joseph; Garcia; Elizabeth Cruz; 1991-02-14;  ; 567-89-0123
5;10006; Jessica; Rebecca; Davis; 1978-11-11; Boston, MA, USA; Emily; Daniel; Thompson; Richard Clark; 2002-08-08;  ; 678-90-1234
6;10007; Daniel; William; Thompson; 1945-02-25; Seattle, WA, USA; Sarah; John; Smith; Angela Thompson; 1967-05-15;  ; 789-01-2345
7;10008; Angela; Lisa; Smith; 1947-07-28; San Francisco, CA, USA; Linda; Robert; Davis; James Williams; 1969-12-31;  ; 890-12-3456
8;10009; Robert; Charles; Davis; 1944-01-01; Phoenix, AZ, USA; Susan; Michael; Brown; Angela Smith; 1966-09-09;  ; 901-23-4567
9;10010; Linda; Emily; Davis; 1949-03-22; Detroit, MI, USA; Barbara; Steven; Miller; John David Smith; 1968-01-01;  ; 012-34-5678</s>
10; 10011; Jessica, Susan; Maria, Gonzales; 1953-06-15; El Paso, TX, USA; Maria, Garcia; Jose, Antonio; Lopez; John, William Brown; 1975-05-12; 2005-12-31; 123-45-6789;
