;Animal Type; Breed; Age; Weight; Health Status; Symptoms; Diagnosis; Treatment Plan; Follow-up; Owner Information
0; Dog; Labrador Retriever; 3 years; 70 pounds; Healthy; No symptoms; Routine check-up; Vaccinations and general wellness examination; Schedule next check-up in a year; John Doe, 555-555-5555, [john.doe@email.com](mailto:john.doe@email.com)
1;Cat; Domestic Shorthair; 5 years; 12 pounds; Overweight; Lethargy, increased appetite; Obesity; Weight loss plan, increase playtime; Schedule follow-up in 6 months; Jane Smith, 555-555-5555, [jane.smith@email.com](mailto:jane.smith@email.com)
2;Horse; Thoroughbred; 8 years; 1,200 pounds; Good health; Minor cuts; Minor wounds; Clean and dress wounds, monitor for infection; Schedule follow-up in 2 weeks; Robert Johnson, 555-555-5555, [robert.johnson@email.com](mailto:robert.johnson@email.com)
3;Bird; African Grey Parrot; 10 years; 1.5 pounds; Healthy; No symptoms; Routine check-up; Vaccinations, general health assessment; Schedule next check-up in a year; Emily Davis, 555-555-5555, [emily.davis@email.com](mailto:emily.davis@email.com)
4;Dog; Chihuahua; 2 years; 5 pounds; Dental disease; Bad breath; Periodontal disease; Dental cleaning, oral health care education; Schedule follow-up in 3 months; James Brown, 555-555-5555, [james.brown@email.com](mailto:james.brown@email.com)
5;Rabbit; Netherland Dwarf; 1 year; 3 pounds; Gastrointestinal stasis; Decreased appetite, lethargy; Gastrointestinal stasis; Fluid therapy, force-feed critical care; Schedule follow-up in 1 week; Sarah Miller, 555-555-5555, [sarah.miller@email.com](mailto:sarah.miller@email.com)
6;Guinea Pig; American; 2 years; 1.2 pounds; Respiratory infection; Sneezing, nasal discharge; Respiratory infection; Antibiotics, nebulization; Schedule follow-up in 1 week; Michael Wilson, 555-555-5555, [michael.wilson@email.com](mailto:michael.wilson@email.com)
7;Dog; German Shepherd; 6 years; 90 pounds; Arthritis; Limping, difficulty jumping; Osteoarthritis; Pain management, weight management; Schedule follow-up in 1 month; Karen White, 555-555-5555, [karen.white@email.com](mailto:karen.white@email.com)
8;Ferret; Sable; 3 years; 2.5 pounds; Insulinoma; Lethargy, increased appetite; Insulinoma; Medical management, surgery; Schedule follow-up in 1 week; Daniel Thompson, 555-555-5555, [daniel.thompson@email.com](mailto:daniel.thompson@email.com)
9;Cat; Siamese; 4 years; 10 pounds; Eye infection; Red eyes, squinting; Upper respiratory infection; Antibiotics, eye care; Schedule follow-up in 1 week; Laura Garcia, 555-555-5555, [laura.garcia@email.com](mailto:laura.garcia@email.com)</s>
